년월,누적등록대수
2024-02,547455
2024-01,545787
2023-12,543900
2023-06,389855
2022-12,389855
2022-11,381725
2022-10,365570
2022-09,347395
2022-08,328267
2022-07,313801
2022-06,298633
2022-05,286257
2022-04,272656
2022-03,258253
2022-02,241182
2022-01,232970
2021-12,231443
2021-11,222968
2021-10,211677
2021-09,201520
2021-08,191065
2021-07,180966
2021-06,173147
2021-05,159851
2021-04,151991
2021-03,147686
2021-02,137263
2021-01,135391
2020-12,134962
2020-11,131923
2020-10,128349
2020-09,124409
2020-08,118034
2020-07,114318
2020-06,111307
2020-05,106189
2020-04,103700
2020-03,100229
2020-02,93572
2020-01,90701
2019-12,89918
2019-11,87064
2019-10,83047
2019-09,80902
2019-08,78660
2019-07,76332
2019-06,72814
2019-05,69223
2019-04,65225
2019-03,60952
2019-02,56532
2019-01,56085
2018-12,55756
2018-11,53685
2018-10,49825
2018-09,46038
2018-08,42537
2018-07,40113
2018-06,36835
2018-05,33044
2018-04,30893
2018-03,29310
2018-02,27425
2018-01,26414
2017-12,25108
2017-11,23116
2017-10,21376
2017-09,20336
2017-08,18435
2017-07,17103
2017-06,15869
2017-05,14861
2017-04,14063
2017-03,13188
2017-02,12394
2017-01,11794
2016-12,10855
2016-11,9491
2016-10,8518
2016-09,8071
2016-08,7677
2016-07,7260
2016-06,6543
2016-05,6331
2016-04,6157
2016-03,5935
2016-02,5838
2016-01,5776
2015-12,5712
2015-11,5537
2015-10,5302
2015-09,5003
2015-08,4535
2015-07,4117
2015-06,3797
2015-05,3391
2015-04,3241
2015-03,3122
2015-02,3076
2015-01,3009
2014-12,2775
2014-11,2605
2014-10,2511
2014-09,2479
2014-08,2404
2014-07,2307
2014-06,2044
2014-05,1893
2014-04,1842
2014-03,1696
2014-02,1674
2014-01,1647
2013-12,1464
2013-11,1201
2013-10,1145
2013-09,1127
2013-08,1123
2013-07,1121
2013-06,1121
2013-05,1119
2013-04,1098
2013-03,1084
2013-02,1018
2013-01,960
2012-12,860
2012-11,756
2012-10,711
2012-09,656
2012-08,614
2012-07,492
2012-06,458
2012-05,403
2012-04,393
2012-03,382
2012-02,364
2012-01,362
2011-12,344
2011-11,186
2011-10,143
2011-09,121
2011-08,116
2011-07,111
2011-06,107
2011-05,104
2011-04,98
2011-03,93
2011-02,88
2011-01,75
2010-12,66
2010-11,45
2010-10,40
2010-09,35
2010-08,23
2010-07,21
