일자,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2021-12,86,4,2,2,5,5,5,8,2,15,5,8,8,3,2,1,11,0
2022-01,91,5,2,3,5,5,5,8,2,15,6,8,8,4,2,2,11,0
2022-02,92,5,2,3,5,5,5,8,2,15,6,8,8,4,2,2,12,0
2022-03,99,5,2,3,5,5,5,9,2,17,6,10,9,5,2,2,12,0
2022-04,106,6,3,4,5,6,5,9,2,18,7,10,9,5,3,2,12,0
2022-05,110,6,3,4,5,6,7,9,2,19,7,11,9,5,3,2,12,0
2022-06,113,7,3,4,6,6,7,9,2,20,7,11,9,5,3,2,12,0
2022-07,118,7,3,4,6,6,7,9,2,21,8,12,9,5,4,3,12,0
2022-08,123,7,3,4,6,6,7,9,2,21,9,13,9,7,4,3,13,0
2022-09,124,7,3,4,6,6,8,9,2,21,9,13,9,7,4,3,13,0
2022-01,130,9,3,4,6,6,8,9,2,23,9,14,9,8,4,3,13,0
2022-11,132,9,3,4,6,6,8,9,2,23,10,14,10,8,4,3,13,0
2022-12,134,9,3,4,6,6,8,9,2,24,10,14,10,8,4,3,14,0
2023-01,134,9,3,4,6,6,8,9,2,24,10,14,10,8,4,3,14,0
2023-02,136,9,3,4,7,6,8,9,2,24,10,14,10,8,4,4,14,0
2023-03,141,9,3,4,7,6,8,9,2,24,10,15,10,9,5,6,14,0
2023-04,144,9,3,4,7,6,8,9,2,25,11,15,10,9,5,6,15,0
2023-05,148,9,3,4,7,6,8,10,2,26,11,15,11,9,5,6,16,0
2023-06,148,9,3,4,7,6,8,10,2,26,11,15,11,9,5,6,16,0
2023-07,151,9,3,4,7,6,9,10,2,26,11,15,12,10,5,6,16,0
