country_code,year,graduates_count,population,doctors_count
AUS,2017,3800,24592588,90417
AUS,2018,3958,24963258,93604
AUS,2019,4022,25334826,97039
AUS,2020,3839,25649248,100260
AUS,2021,3945,25685412,103196
AUT,2017,1248,8797566,45366
AUT,2018,1346,8840521,46115
AUT,2019,1242,8879920,46987
AUT,2020,1288,8916864,47422
AUT,2021,1455,8955797,48443
AUT,2022,1466,9041851,49242
BEL,2017,1684,11375158,35069
BEL,2018,3282,11427054,35762
BEL,2019,2020,11488980,36343
BEL,2020,1917,11538604,37089
BEL,2021,1898,11586195,37630
CAN,2019,2856,37618495,91375
CAN,2020,2876,38028638,92173
CAN,2021,2861,38239864,93998
CHE,2017,946,8451840,36324
CHE,2018,995,8514329,36940
CHE,2019,1017,8575280,37300
CHE,2020,1115,8638167,37911
CHE,2021,1089,8704546,38613
CHL,2017,1597,18368577,45088
CHL,2018,1637,18701450,48531
CHL,2019,1745,19039485,50439
CHL,2020,1768,19300315,54196
CHL,2021,500,19493184,57952
CHL,2022,2536,19603733,62144
COL,2017,5748,48351671,104125
COL,2018,6429,49276961,109934
COL,2019,6319,50187406,115638
COL,2020,5955,50930662,121183
CZE,2019,1718,10671870,43399
CZE,2020,1771,10697858,43810
CZE,2021,1790,10505772,44712
DEU,2017,9928,82657002,351195
DEU,2018,9563,82905782,357401
DEU,2019,10234,83092962,365388
DEU,2020,10007,83160871,371556
DEU,2021,10320,83196078,376852
DNK,2017,1281,5764980,23691
DNK,2018,1335,5793636,24308
DNK,2019,1234,5814422,24719
DNK,2020,1284,5831404,25522
ESP,2017,6749,46593236,180633
ESP,2018,6664,46797754,188166
ESP,2019,6574,47134837,207565
ESP,2020,6600,47365655,216766
ESP,2021,6718,47415794,212735
EST,2017,151,1317384,4569
EST,2018,136,1321977,4605
EST,2019,138,1326898,4603
EST,2020,138,1329522,4626
EST,2021,157,1330932,4568
FIN,2017,574,5508214,19219
FIN,2018,645,5515525,19322
FIN,2019,657,5521606,19694
FIN,2020,674,5529543,19969
FRA,2017,7252,66918020,210017
FRA,2018,6387,67158348,210549
FRA,2019,6708,67388001,213180
FRA,2020,8069,67571107,214293
FRA,2021,9795,67764304,215722
GBR,2017,8590,66058859,185921
GBR,2018,8570,66460344,188295
GBR,2019,8730,66836327,196463
GBR,2020,8750,67081234,203907
GBR,2021,8835,67026292,213357
GBR,2022,9140,67791000,214287
GRC,2017,1334,10754679,65240
GRC,2018,1344,10732882,65513
GRC,2019,1449,10721582,66058
GRC,2020,1465,10698599,66187
GRC,2021,1403,10569207,66504
HUN,2017,1410,9787966,32543
HUN,2018,1560,9775564,33078
HUN,2019,1540,9771141,34137
HUN,2020,1532,9750149,30610
HUN,2021,1574,9709891,32026
IRL,2017,1196,4807388,15660
IRL,2018,1254,4867316,15962
IRL,2019,1225,4934340,16366
IRL,2020,1268,4985382,17231
IRL,2021,1310,5033164,20256
ISL,2017,50,343400,1330
ISL,2018,48,352721,1373
ISL,2019,41,360563,1404
ISL,2020,49,366463,1583
ISL,2021,51,372520,1631
ISR,2017,601,8713300,28683
ISR,2018,658,8882800,29592
ISR,2019,654,9054000,30485
ISR,2020,639,9215100,31389
ISR,2021,637,9371400,32520
ISR,2022,690,9557500,33558
ITA,2017,9120,60536709,241512
ITA,2018,10129,60421760,240301
ITA,2019,10511,59729081,241945
ITA,2020,11213,59438851,237844
ITA,2021,10788,59133173,242721
ITA,2022,9827,58940425,250813
KOR,2017,3898,51361911,120630
KOR,2018,3860,51585058,123230
KOR,2019,3827,51764822,127258
KOR,2020,3742,51836239,130014
KOR,2021,3757,51769539,130479
LTU,2017,545,2828403,12887
LTU,2018,554,2801543,12881
LTU,2019,552,2794137,12768
LTU,2020,571,2794885,12529
LTU,2021,571,2800839,12533
LVA,2017,337,1942248,6225
LVA,2018,428,1927174,6367
LVA,2019,450,1913822,6253
LVA,2020,454,1900449,6346
LVA,2021,515,1884490,6328
MEX,2017,16586,122839258,297307
MEX,2018,15346,124013861,305985
MEX,2019,17408,125085311,309418
MEX,2020,14838,125998302,307501
MEX,2021,19327,126705138,324292
NLD,2017,2730,17131296,61730
NLD,2018,2720,17231624,63278
NLD,2019,2620,17344874,65121
NLD,2020,2500,17441500,67100
NLD,2021,2710,17533044,68363
NOR,2017,586,5276968,24986
NOR,2018,542,5311916,25804
NOR,2019,606,5347896,26572
NOR,2020,587,5379475,27361
NOR,2021,555,5408320,27925
NZL,2017,437,4813600,15656
NZL,2018,474,4900600,16224
NZL,2019,493,4979200,16812
NZL,2020,528,5090200,17448
NZL,2021,543,5111300,18037
NZL,2022,533,5117200,18531
POL,2017,4157,37974826,90284
POL,2018,4006,37974750,89532
POL,2019,4546,37965475,125349
POL,2020,4638,37899070,126064
POL,2021,5067,37747124,129893
PRT,2017,1657,10300300,52718
PRT,2018,1760,10283822,54478
PRT,2019,1629,10286263,56077
PRT,2020,1619,10297081,57826
PRT,2021,1682,10361831,59338
SVN,2021,274,2108079,7049
SWE,2017,1281,10057698,42938
SWE,2018,1334,10175214,43969
SWE,2019,1385,10278887,44061
SWE,2020,1405,10353442,44719
TUR,2017,8530,80312698,149997
TUR,2018,9395,81407204,153128
TUR,2019,10854,82579440,160810
TUR,2020,11909,83384680,171259
TUR,2021,13239,84147318,183569
USA,2019,26640,328329953,1176043
USA,2020,27328,331526933,1194267
USA,2021,28337,332048977,1215945
